map,map_width,map_height,scenario_id,start,goal,manhattan_distance,euclidean_distance,algorithm,path_length,path_cost,visited_nodes,execution_time_ms,corridor_size,corridor_time_ms,expansions,found
den312d,65,81,0,"(24, 12)","(38, 56)",58,46.17358552246078,AILS,50,52.727922061357845,216,3.033876419067383,335.0,0.8375644683837891,0,True
den312d,65,81,0,"(24, 12)","(38, 56)",58,46.17358552246078,A*,50,52.727922061357845,361,4.160642623901367,,,0,True
den312d,65,81,0,"(24, 12)","(38, 56)",58,46.17358552246078,Dijkstra,50,52.727922061357845,2696,20.859241485595703,,,0,True
den312d,65,81,0,"(24, 12)","(38, 56)",58,46.17358552246078,BFS,59,58.0,2668,4.972696304321289,,,0,True
den312d,65,81,1,"(56, 55)","(49, 72)",24,18.384776310850235,AILS,22,22.242640687119287,115,2.852916717529297,123.0,0.3001689910888672,1,True
den312d,65,81,1,"(56, 55)","(49, 72)",24,18.384776310850235,A*,22,22.242640687119287,115,1.3267993927001953,,,0,True
den312d,65,81,1,"(56, 55)","(49, 72)",24,18.384776310850235,Dijkstra,22,22.242640687119287,690,5.328178405761719,,,0,True
den312d,65,81,1,"(56, 55)","(49, 72)",24,18.384776310850235,BFS,25,24.0,695,1.157999038696289,,,0,True
den312d,65,81,2,"(61, 6)","(55, 65)",65,59.30430001273095,AILS,63,64.89949493661166,202,5.976200103759766,439.0,1.1513233184814453,1,True
den312d,65,81,2,"(61, 6)","(55, 65)",65,59.30430001273095,A*,63,64.89949493661166,202,2.299070358276367,,,0,True
den312d,65,81,2,"(61, 6)","(55, 65)",65,59.30430001273095,Dijkstra,63,64.89949493661166,2358,17.978906631469727,,,0,True
den312d,65,81,2,"(61, 6)","(55, 65)",65,59.30430001273095,BFS,70,69.0,2175,3.998994827270508,,,0,True
den312d,65,81,3,"(35, 2)","(50, 28)",41,30.01666203960727,AILS,33,35.72792206135786,142,2.3393630981445312,238.0,0.5011558532714844,0,True
den312d,65,81,3,"(35, 2)","(50, 28)",41,30.01666203960727,A*,33,35.72792206135786,260,3.538846969604492,,,0,True
den312d,65,81,3,"(35, 2)","(50, 28)",41,30.01666203960727,Dijkstra,33,35.72792206135786,1328,10.335683822631836,,,0,True
den312d,65,81,3,"(35, 2)","(50, 28)",41,30.01666203960727,BFS,42,41.0,1343,2.3419857025146484,,,0,True
den312d,65,81,4,"(38, 22)","(58, 43)",41,29.0,AILS,28,32.798989873223334,120,1.6808509826660156,219.0,0.39196014404296875,0,True
den312d,65,81,4,"(38, 22)","(58, 43)",41,29.0,A*,28,32.798989873223334,162,2.156972885131836,,,0,True
den312d,65,81,4,"(38, 22)","(58, 43)",41,29.0,Dijkstra,28,32.798989873223334,1803,14.10984992980957,,,0,True
den312d,65,81,4,"(38, 22)","(58, 43)",41,29.0,BFS,42,41.0,2101,3.6420822143554688,,,0,True
den312d,65,81,5,"(34, 2)","(42, 21)",27,20.615528128088304,AILS,22,23.48528137423857,77,2.3584365844726562,159.0,0.3578662872314453,1,True
den312d,65,81,5,"(34, 2)","(42, 21)",27,20.615528128088304,A*,22,23.48528137423857,77,0.8764266967773438,,,0,True
den312d,65,81,5,"(34, 2)","(42, 21)",27,20.615528128088304,Dijkstra,22,23.48528137423857,578,4.535913467407227,,,0,True
den312d,65,81,5,"(34, 2)","(42, 21)",27,20.615528128088304,BFS,28,27.0,605,1.0089874267578125,,,0,True
den312d,65,81,6,"(48, 16)","(57, 28)",21,15.0,AILS,14,16.313708498984763,25,0.5576610565185547,115.0,0.21839141845703125,0,True
den312d,65,81,6,"(48, 16)","(57, 28)",21,15.0,A*,14,16.313708498984763,25,0.3325939178466797,,,0,True
den312d,65,81,6,"(48, 16)","(57, 28)",21,15.0,Dijkstra,14,16.313708498984763,537,4.275083541870117,,,0,True
den312d,65,81,6,"(48, 16)","(57, 28)",21,15.0,BFS,22,21.0,681,1.1169910430908203,,,0,True
den312d,65,81,7,"(50, 37)","(56, 53)",22,17.08800749063506,AILS,18,19.07106781186548,62,0.9839534759521484,116.0,0.27561187744140625,0,True
den312d,65,81,7,"(50, 37)","(56, 53)",22,17.08800749063506,A*,18,19.07106781186548,69,0.8337497711181641,,,0,True
den312d,65,81,7,"(50, 37)","(56, 53)",22,17.08800749063506,Dijkstra,18,19.07106781186548,598,4.539251327514648,,,0,True
den312d,65,81,7,"(50, 37)","(56, 53)",22,17.08800749063506,BFS,23,22.0,623,1.0066032409667969,,,0,True
den312d,65,81,8,"(7, 32)","(22, 13)",34,24.20743687382041,AILS,25,28.142135623730958,83,1.2085437774658203,161.0,0.33354759216308594,0,True
den312d,65,81,8,"(7, 32)","(22, 13)",34,24.20743687382041,A*,25,28.142135623730958,90,1.06048583984375,,,0,True
den312d,65,81,8,"(7, 32)","(22, 13)",34,24.20743687382041,Dijkstra,25,28.142135623730958,1039,8.001089096069336,,,0,True
den312d,65,81,8,"(7, 32)","(22, 13)",34,24.20743687382041,BFS,35,34.0,1305,2.1789073944091797,,,0,True
den312d,65,81,9,"(30, 29)","(26, 40)",15,11.704699910719626,AILS,12,12.65685424949238,26,0.5729198455810547,101.0,0.21004676818847656,0,True
den312d,65,81,9,"(30, 29)","(26, 40)",15,11.704699910719626,A*,12,12.65685424949238,27,0.3628730773925781,,,0,True
den312d,65,81,9,"(30, 29)","(26, 40)",15,11.704699910719626,Dijkstra,12,12.65685424949238,295,2.3031234741210938,,,0,True
den312d,65,81,9,"(30, 29)","(26, 40)",15,11.704699910719626,BFS,16,15.0,388,0.5950927734375,,,0,True
den312d,65,81,10,"(43, 48)","(28, 43)",20,15.811388300841896,AILS,16,17.071067811865476,51,0.8642673492431641,112.0,0.2593994140625,0,True
den312d,65,81,10,"(43, 48)","(28, 43)",20,15.811388300841896,A*,16,17.071067811865476,52,0.6339550018310547,,,0,True
den312d,65,81,10,"(43, 48)","(28, 43)",20,15.811388300841896,Dijkstra,16,17.071067811865476,587,4.621267318725586,,,0,True
den312d,65,81,10,"(43, 48)","(28, 43)",20,15.811388300841896,BFS,21,20.0,663,1.0695457458496094,,,0,True
den312d,65,81,11,"(30, 2)","(45, 79)",92,78.44743462982075,AILS,81,84.97056274847711,351,7.503509521484375,497.0,1.2919902801513672,1,True
den312d,65,81,11,"(30, 2)","(45, 79)",92,78.44743462982075,A*,80,84.3847763108502,427,4.700660705566406,,,0,True
den312d,65,81,11,"(30, 2)","(45, 79)",92,78.44743462982075,Dijkstra,80,84.3847763108502,3835,29.178142547607422,,,0,True
den312d,65,81,11,"(30, 2)","(45, 79)",92,78.44743462982075,BFS,93,92.0,3796,7.373809814453125,,,0,True
den312d,65,81,12,"(6, 73)","(22, 43)",46,34.0,AILS,33,37.79898987322332,103,1.6963481903076172,227.0,0.5381107330322266,0,True
den312d,65,81,12,"(6, 73)","(22, 43)",46,34.0,A*,33,37.79898987322332,174,2.147197723388672,,,0,True
den312d,65,81,12,"(6, 73)","(22, 43)",46,34.0,Dijkstra,33,37.79898987322332,1117,8.726119995117188,,,0,True
den312d,65,81,12,"(6, 73)","(22, 43)",46,34.0,BFS,47,46.0,1348,2.365589141845703,,,0,True
den312d,65,81,13,"(58, 23)","(9, 66)",92,65.19202405202648,AILS,62,73.8406204335659,454,7.847309112548828,427.0,0.8871555328369141,1,True
den312d,65,81,13,"(58, 23)","(9, 66)",92,65.19202405202648,A*,62,73.8406204335659,613,6.894826889038086,,,0,True
den312d,65,81,13,"(58, 23)","(9, 66)",92,65.19202405202648,Dijkstra,62,73.8406204335659,3763,28.781890869140625,,,0,True
den312d,65,81,13,"(58, 23)","(9, 66)",92,65.19202405202648,BFS,93,92.0,3809,7.279634475708008,,,0,True
den312d,65,81,14,"(44, 17)","(19, 64)",72,53.23532661682466,AILS,51,59.11269837220807,308,6.086111068725586,318.0,0.8232593536376953,1,True
den312d,65,81,14,"(44, 17)","(19, 64)",72,53.23532661682466,A*,51,59.11269837220807,397,4.548072814941406,,,0,True
den312d,65,81,14,"(44, 17)","(19, 64)",72,53.23532661682466,Dijkstra,51,59.11269837220807,3296,27.15015411376953,,,0,True
den312d,65,81,14,"(44, 17)","(19, 64)",72,53.23532661682466,BFS,73,72.0,3508,6.538152694702148,,,0,True
den312d,65,81,15,"(20, 53)","(38, 2)",69,54.08326913195984,AILS,57,61.38477631085022,333,6.366491317749023,383.0,0.9100437164306641,1,True
den312d,65,81,15,"(20, 53)","(38, 2)",69,54.08326913195984,A*,57,61.38477631085022,450,4.957675933837891,,,0,True
den312d,65,81,15,"(20, 53)","(38, 2)",69,54.08326913195984,Dijkstra,57,61.38477631085022,3814,28.89275550842285,,,0,True
den312d,65,81,15,"(20, 53)","(38, 2)",69,54.08326913195984,BFS,70,69.0,3736,6.855487823486328,,,0,True
den312d,65,81,16,"(8, 69)","(59, 62)",58,51.478150704935004,AILS,52,54.72792206135785,100,2.0706653594970703,346.0,0.8654594421386719,0,True
den312d,65,81,16,"(8, 69)","(59, 62)",58,51.478150704935004,A*,52,53.89949493661166,131,1.569986343383789,,,0,True
den312d,65,81,16,"(8, 69)","(59, 62)",58,51.478150704935004,Dijkstra,52,53.89949493661166,2297,18.372774124145508,,,0,True
den312d,65,81,16,"(8, 69)","(59, 62)",58,51.478150704935004,BFS,59,58.0,2193,4.967927932739258,,,0,True
den312d,65,81,17,"(55, 74)","(48, 32)",49,42.579337712087536,AILS,45,46.07106781186547,161,2.4688243865966797,293.0,0.7190704345703125,0,True
den312d,65,81,17,"(55, 74)","(48, 32)",49,42.579337712087536,A*,45,46.07106781186546,207,2.305746078491211,,,0,True
den312d,65,81,17,"(55, 74)","(48, 32)",49,42.579337712087536,Dijkstra,45,46.07106781186546,1617,12.230634689331055,,,0,True
den312d,65,81,17,"(55, 74)","(48, 32)",49,42.579337712087536,BFS,50,49.0,1524,2.6404857635498047,,,0,True
den312d,65,81,18,"(51, 59)","(27, 7)",76,57.271284253105414,AILS,59,65.45584412271569,376,7.917165756225586,385.0,0.8988380432128906,1,True
den312d,65,81,18,"(51, 59)","(27, 7)",76,57.271284253105414,A*,58,64.8700576850888,551,6.118297576904297,,,0,True
