pattern,actual_density,method,time_mean,time_std,nodes_mean,nodes_std,success_rate
Random,0.2644,A*,15.704139469878045,12.500256385435808,2248.1632653061224,1748.0657922860817,98.0
Random,0.2644,AILS-Base,20.955879205293783,31.737828412187614,944.469387755102,680.219955483813,98.0
Random,0.2644,AILS-Adaptive,25.576136121882733,28.61551114053525,1146.4897959183672,672.6027763798154,98.0
Clustered,0.2699,A*,49.28481488334297,48.833004246900174,6983.186046511628,6950.077999414456,86.0
Clustered,0.2699,AILS-Base,3429.155732627869,3968.8458596197183,6729.767441860465,7122.476388125487,86.0
Clustered,0.2699,AILS-Adaptive,3750.408654092394,4291.120950110499,6742.604651162791,7118.9957684125675,86.0
Maze,0.5049875003093983,A*,52.4377158403513,35.51100192974131,9339.06,5526.590690145236,100.0
Maze,0.5049875003093983,AILS-Base,4246.027366720373,2097.2331295085887,9276.46,5610.829686276353,100.0
Maze,0.5049875003093983,AILS-Adaptive,4957.51820503996,2804.5126089596297,9163.2,5693.421400177576,100.0
Room,0.90945,A*,7.709506718674675,6.577879541390442,647.24,517.6233595965314,100.0
Room,0.90945,AILS-Base,896.0481233612518,881.7053898215663,649.44,518.5963038819309,100.0
Room,0.90945,AILS-Adaptive,736.0876676195767,819.8782157083338,637.18,515.4281206919158,100.0
Open,0.11825,A*,16.015200861438643,14.78343142579067,1180.16,1077.5470729392755,100.0
Open,0.11825,AILS-Base,14.96319086116273,8.241026996000297,672.46,438.6666255825715,100.0
Open,0.11825,AILS-Adaptive,30.43391081795562,14.653741862232039,739.38,494.3029795580844,100.0
