grid_size,method,time_mean,time_std,nodes_mean,nodes_std,success_rate
50,A*,0.9547908150719251,0.9109368042448286,137.28571428571428,132.38410410773707,98.0
50,AILS-Base,4.703101141934226,7.328318028536349,126.65306122448979,119.74557228751983,98.0
50,AILS-Adaptive,3.941449856715828,2.673582089849878,130.10204081632654,109.5082225778576,98.0
100,A*,5.415089327155385,4.705618684266411,792.9591836734694,682.6528373142612,98.0
100,AILS-Base,14.46321602121984,19.990764018800466,484.46938775510205,382.3061120994599,98.0
100,AILS-Adaptive,16.2754056150241,21.70658041302546,550.8979591836735,396.900401062007,98.0
150,A*,9.92105095867039,8.865070050103016,1431.7142857142858,1285.1202595993313,98.0
150,AILS-Base,21.079041673481104,28.016971724014294,715.8163265306123,569.6695667171,98.0
150,AILS-Adaptive,18.932077347369844,20.860248392040706,788.0816326530612,497.67458578483786,98.0
200,A*,15.483717715049314,12.080387322320998,2248.1632653061224,1748.0657922860817,98.0
200,AILS-Base,20.88283079650196,31.69058860740556,944.469387755102,680.219955483813,98.0
200,AILS-Adaptive,25.571572264105235,28.41437931775754,1146.4897959183672,672.6027763798154,98.0
250,A*,25.46094502089545,22.683401445174134,3643.24,3219.133868356518,100.0
250,AILS-Base,45.73673665901879,98.66380120681592,1427.4,1289.484284510672,100.0
250,AILS-Adaptive,43.15862842195202,112.24257148023358,1495.78,1016.7077513228667,100.0
300,A*,31.61747331992956,32.051140158597796,4183.14,4154.706858540082,100.0
300,AILS-Base,47.06157075968804,63.89582837673519,1465.78,1283.557919067153,100.0
300,AILS-Adaptive,29.614831699582282,18.071567952686518,1442.22,964.8167139928703,100.0
400,A*,69.76377435330505,55.252509985057856,9539.5625,7383.440934805425,96.0
400,AILS-Base,85.63158250035485,83.03792021638017,2673.0208333333335,1806.597405916983,96.0
400,AILS-Adaptive,76.5057465226467,93.44342562701308,2703.7291666666665,1682.3877592524975,96.0
500,A*,124.75705833843676,116.94307184721703,17015.5,15639.279799594353,100.0
500,AILS-Base,147.5051091198111,108.18499966710588,4127.9,2625.5757025841017,100.0
500,AILS-Adaptive,129.93703249900136,146.35007438965573,3945.36,2621.9707302714114,100.0
